#depth[mm]	Amp[V]	HF [V]	TGC [dB]
0,0	0,315	0,007	0,315
0,1	0,588	0,022	0,315
0,3	0,910	0,999	0,000
0,4	1,199	-0,710	-0,157
0,5	1,387	-1,009	0,472
0,7	1,452	-1,009	0,630
0,8	1,421	0,999	0,315
1,0	1,349	0,999	0,000
1,1	1,280	0,999	-0,157
1,2	1,235	0,999	0,157
1,4	1,216	-1,009	0,472
1,5	1,221	0,306	0,315
1,6	1,247	0,999	0,000
1,8	1,283	-0,867	0,157
1,9	1,306	-1,009	0,315
2,0	1,284	-1,009	0,315
2,2	1,198	0,660	0,315
2,3	1,067	0,999	0,157
2,5	0,950	0,463	0,157
2,6	0,917	0,125	0,315
2,7	0,997	-1,009	0,157
2,9	1,153	-1,009	0,157
3,0	1,285	-0,182	0,157
3,1	1,290	0,999	0,157
3,3	1,121	0,999	0,157
3,4	0,822	-0,285	0,157
3,5	0,509	-0,458	0,157
3,7	0,294	-0,182	0,315
3,8	0,225	-0,237	0,157
4,0	0,262	-0,214	0,157
4,1	0,316	0,093	0,157
4,2	0,315	0,290	0,157
4,4	0,244	0,125	0,157
4,5	0,143	-0,080	0,157
4,6	0,067	-0,033	0,157
4,8	0,044	0,070	0,157
4,9	0,058	0,054	0,157
5,1	0,080	0,022	0,157
5,2	0,087	0,022	0,157
5,3	0,083	-0,041	0,315
5,5	0,084	-0,103	0,315
5,6	0,096	-0,017	0,157
5,7	0,110	0,093	0,157
5,9	0,109	0,054	0,157
6,0	0,087	-0,056	0,157
6,1	0,054	-0,056	0,157
6,3	0,030	-0,009	0,157
6,4	0,029	-0,025	0,157
6,6	0,046	-0,017	0,157
6,7	0,063	0,046	0,157
6,8	0,067	0,054	0,157
7,0	0,053	-0,009	0,157
7,1	0,032	-0,033	0,157
7,2	0,016	-0,009	0,157
7,4	0,011	-0,001	0,157
7,5	0,013	-0,001	0,157
7,6	0,015	0,007	0,157
7,8	0,014	0,007	0,157
7,9	0,014	-0,009	0,157
8,1	0,018	0,007	0,157
8,2	0,029	0,030	0,157
8,3	0,041	0,030	0,157
8,5	0,048	-0,001	0,157
8,6	0,047	-0,041	0,315
8,7	0,040	-0,033	0,157
8,9	0,034	-0,009	0,157
9,0	0,033	0,022	0,157
9,1	0,038	0,038	0,157
9,3	0,043	0,030	0,157
9,4	0,042	-0,001	0,157
9,6	0,036	-0,025	0,157
9,7	0,027	-0,025	0,157
9,8	0,021	-0,009	0,157
10,0	0,018	0,015	0,157
10,1	0,017	0,015	0,157
10,2	0,016	0,007	0,157
10,4	0,014	-0,001	0,157
10,5	0,012	-0,009	0,157
10,6	0,011	-0,001	0,157
10,8	0,011	0,007	0,157
10,9	0,012	0,007	0,157
11,1	0,012	-0,001	0,157
11,2	0,010	-0,009	0,157
11,3	0,008	-0,001	0,157
11,5	0,008	0,007	0,157
11,6	0,009	0,007	0,157
11,7	0,011	0,007	0,157
11,9	0,011	0,007	0,315
12,0	0,009	-0,001	0,157
12,1	0,008	-0,001	0,157
12,3	0,009	0,007	0,157
12,4	0,011	0,007	0,157
12,6	0,013	-0,001	0,157
12,7	0,013	-0,009	0,157
12,8	0,011	-0,001	0,157
13,0	0,009	0,007	0,157
13,1	0,010	0,007	0,157
13,2	0,012	0,015	0,157
13,4	0,016	0,007	0,157
13,5	0,018	0,007	0,157
13,7	0,016	-0,001	0,157
13,8	0,012	-0,009	0,157
13,9	0,010	-0,009	0,157
14,1	0,012	0,007	0,157
14,2	0,018	0,015	0,157
14,3	0,025	0,022	0,157
14,5	0,029	-0,001	0,157
14,6	0,026	-0,017	0,157
14,7	0,020	-0,017	0,157
14,9	0,014	-0,009	0,157
15,0	0,014	0,007	0,157
15,2	0,018	0,022	0,157
15,3	0,023	0,015	0,157
15,4	0,023	-0,001	0,157
15,6	0,017	-0,001	0,157
15,7	0,008	-0,001	0,157
15,8	0,004	-0,009	0,157
16,0	0,006	-0,001	0,157
16,1	0,011	0,007	0,157
16,2	0,014	0,007	0,157
16,4	0,011	-0,001	0,945
16,5	0,005	-0,001	3,465
16,7	0,004	0,007	5,669
16,8	0,010	0,007	7,244
16,9	0,018	-0,001	8,189
17,1	0,019	-0,001	8,661
17,2	0,009	-0,001	8,976
17,3	0,001	-0,001	9,134
17,5	0,003	0,015	9,291
17,6	0,021	0,015	9,449
17,7	0,042	-0,001	9,449
17,9	0,043	-0,009	9,449
18,0	0,020	-0,017	9,606
18,2	0,001	-0,017	9,606
18,3	0,028	-0,041	9,606
18,4	0,136	0,022	9,764
18,6	0,316	0,290	9,764
18,7	0,523	0,180	9,764
18,8	0,707	-0,552	9,764
19,0	0,848	-0,749	9,764
19,1	0,961	0,282	9,764
19,2	1,059	0,999	9,764
19,4	1,126	0,519	9,764
19,5	1,114	-0,781	9,921
